Country,GNI,VSL,Population
Afghanistan,0.610,0.105,38928346
Albania,4.280,0.736,2877797
Algeria,4.870,0.838,43851044
Andorra,43.270,7.444,77265
Angola,4.180,0.719,32866272
Antigua and Barbuda,13.270,2.283,97929
Argentina,12.460,2.144,45195774
Armenia,3.880,0.668,2963243
Australia,60.070,10.335,25499884
Austria,47.410,8.157,9006398
Azerbaijan,6.560,1.129,10139177
Bahamas,20.740,3.568,393244
Bahrain,19.840,3.413,1701575
Bangladesh,1.190,0.205,164689383
Barbados,14.510,2.496,287375
Belarus,6.460,1.111,9449323
Belgium,44.250,7.613,11589623
Belize,4.490,0.772,397628
Benin,0.840,0.145,12123200
Bermuda,106.140,18.261,62278
Bhutan,2.380,0.409,771608
Bolivia,3.000,0.516,11673021
Bosnia and Herzegovina,4.670,0.803,3280819
Botswana,6.460,1.111,2351627
Brazil,9.850,1.695,212559417
Brunei,38.010,6.539,437479
Bulgaria,7.480,1.287,6948445
Burkina Faso,0.640,0.110,20903273
Burundi,0.260,0.045,11890784
Cambodia,1.070,0.184,16718965
Cameroon,1.320,0.227,26545863
Canada,47.540,8.179,37742154
Cape Verde,3.280,0.564,555987
Central African Republic,0.330,0.057,4829767
Chad,0.880,0.151,16425864
Chile,14.100,2.426,19116201
China,7.930,1.364,1439323776
Colombia,7.140,1.228,50882891
Comoros,0.780,0.134,869601
Congo,2.540,0.437,5518087
Costa Rica,10.400,1.789,5094118
Croatia,12.700,2.185,4105267
Cyprus,25.990,4.471,1207359
Czechia,18.140,3.121,10708981
Democratic Republic of Congo,0.410,0.071,89561403
Denmark,58.550,10.073,5792202
Dominica,6.800,1.170,71986
Dominican Republic,6.240,1.074,10847910
Ecuador,6.030,1.037,17643054
Egypt,3.340,0.575,102334404
El Salvador,3.940,0.678,6486205
Equatorial Guinea,12.820,2.206,1402985
Estonia,18.360,3.159,1326535
Eswatini,3.280,0.564,1160164
Ethiopia,0.590,0.102,114963588
Fiji,4.830,0.831,896445
Finland,46.550,8.009,5540720
France,40.540,6.975,65273511
Gabon,9.200,1.583,2225734
Gambia,0.460,0.079,2416668
Georgia,4.160,0.716,3989167
Germany,45.940,7.904,83783942
Ghana,1.480,0.255,31072940
Greece,20.320,3.496,10423054
Grenada,8.650,1.488,112523
Guatemala,3.590,0.618,17915568
Guinea,0.470,0.081,13132795
Guinea-Bissau,0.590,0.102,1968001
Guyana,4.090,0.704,786552
Haiti,0.810,0.139,11402528
Honduras,2.280,0.392,9904607
Hong Kong,41.000,7.054,7496981
Hungary,12.980,2.233,9660351
Iceland,50.140,8.626,341243
India,1.600,0.275,1380004385
Indonesia,3.440,0.592,273523615
Iran,6.550,1.127,83992949
Iraq,5.820,1.001,40222493
Ireland,52.580,9.046,4937786
Isle of Man,85.290,14.674,85033
Israel,35.770,6.154,8655535
Italy,32.810,5.645,60461826
Jamaica,5.050,0.869,2961167
Japan,38.840,6.682,126476461
Jordan,4.680,0.805,10203134
Kazakhstan,11.390,1.960,18776707
Kenya,1.340,0.231,53771296
Kiribati,3.390,0.583,119449
Kosovo,3.970,0.683,1768973
Kuwait,42.150,7.252,4270571
Kyrgyzstan,1.170,0.201,6524195
Laos,1.740,0.299,7275560
Latvia,14.980,2.577,1886198
Lebanon,7.710,1.326,6825445
Lesotho,1.280,0.220,2142249
Liberia,0.380,0.065,5057681
Lithuania,14.940,2.570,2722289
Luxembourg,77.000,13.247,625978
Macao,67.180,11.558,649335
Madagascar,0.420,0.072,27691018
Malawi,0.340,0.058,19129952
Malaysia,10.570,1.819,32365999
Maldives,6.950,1.196,540544
Mali,0.760,0.131,20250833
Malta,23.930,4.117,441543
Marshall Islands,4.770,0.821,59190
Mauritania,1.370,0.236,4649658
Mauritius,9.780,1.683,1271768
Mexico,9.710,1.671,128932753
Moldova,2.240,0.385,4033963
Mongolia,3.870,0.666,3278290
Montenegro,7.220,1.242,628066
Morocco,3.030,0.521,36910560
Mozambique,0.590,0.102,31255435
Myanmar,1.160,0.200,54409800
Namibia,5.190,0.893,2540905
Nepal,0.730,0.126,29136808
Netherlands,48.860,8.406,17134872
New Zealand,40.020,6.885,4822233
Nicaragua,1.940,0.334,6624554
Niger,0.390,0.067,24206644
Nigeria,2.820,0.485,206139589
North Macedonia,5.140,0.884,2083374
Norway,93.740,16.127,5421241
Oman,16.910,2.909,5106626
Pakistan,1.440,0.248,220892340
Palau,12.180,2.095,18094
Palestine,3.090,0.532,5101414
Panama,11.880,2.044,4314767
Papua New Guinea,2.240,0.385,8947024
Paraguay,4.190,0.721,7132538
Peru,6.130,1.055,32971854
Philippines,3.550,0.611,109581078
Poland,13.340,2.295,37846611
Portugal,20.530,3.532,10196709
Qatar,83.990,14.450,2881053
Romania,9.500,1.634,19237691
Russia,11.450,1.970,145934462
Rwanda,0.700,0.120,12952218
Saint Kitts and Nevis,15.060,2.591,53199
Saint Lucia,7.350,1.265,183627
Saint Vincent and the Grenadines,6.630,1.141,110940
Samoa,3.930,0.676,198414
Sao Tome and Principe,1.760,0.303,219159
Saudi Arabia,23.550,4.052,34813871
Senegal,0.980,0.169,16743927
Serbia,5.540,0.953,8737371
Seychelles,14.760,2.539,98347
Sierra Leone,0.620,0.107,7976983
Singapore,52.090,8.962,5850342
Slovakia,17.570,3.023,5459642
Slovenia,22.190,3.818,2078938
Solomon Islands,1.920,0.330,686884
South Africa,6.080,1.046,59308690
South Korea,27.450,4.723,51269185
South Sudan,0.790,0.136,11193725
Spain,28.530,4.908,46754778
Sri Lanka,3.800,0.654,21413249
Sudan,1.920,0.330,43849260
Suriname,9.360,1.610,586632
Sweden,57.920,9.965,10099265
Switzerland,84.630,14.560,8654622
Tajikistan,1.280,0.220,9537645
Tanzania,0.920,0.158,59734218
Thailand,5.720,0.984,69799978
Timor,2.180,0.375,1318445
Togo,0.540,0.093,8278724
Tonga,4.280,0.736,105695
Trinidad and Tobago,17.640,3.035,1399488
Tunisia,3.980,0.685,11818619
Turkey,9.950,1.712,84339067
Uganda,0.700,0.120,45741007
Ukraine,2.640,0.454,43733762
United Arab Emirates,43.090,7.413,9890402
United Kingdom,43.390,7.465,67886011
United States,55.980,9.631,331002651
Uruguay,15.720,2.705,3473730
Uzbekistan,2.160,0.372,33469203
Vanuatu,3.170,0.545,307145
Vietnam,1.990,0.342,97338579
Yemen,1.140,0.196,29825964
Zambia,1.490,0.256,18383955
Zimbabwe,0.860,0.148,14862924
